date,AAPL,MU,NVDA,SE,DIS,GM,SQ,SWKS,VTI,VOO,VWO,QQQ
2021-04-19,134.84,88.41,614.47,250.0,187.43,57.88,245.33,185.87,215.73,381.74,52.67,338.88
2021-04-16,134.16,90.66,636.5,252.42,187.26,58.71,256.1,189.76,217.15,383.63,52.78,342.01
2021-04-15,134.5,90.27,645.49,250.1,185.93,58.61,263.08,190.65,216.6,382.29,52.61,341.61
2021-04-14,132.03,90.67,611.08,245.56,187.46,58.48,258.4,187.84,214.32,378.23,52.15,336.51
2021-04-13,134.43,92.15,627.18,244.2,185.49,58.49,273.23,189.29,214.8,379.45,51.87,340.6
2021-04-12,131.24,95.59,608.36,245.34,186.49,59.66,265.2,188.12,214.2,378.42,51.86,336.67
2021-04-09,132.995,95.3,576.0,250.93,187.89,60.16,261.65,188.73,214.14,378.25,52.2,337.11
2021-04-08,130.36,95.29,572.68,253.11,187.32,60.09,258.37,189.66,212.85,375.55,52.65,335.08
2021-04-07,127.9,93.96,565.74,245.22,187.56,60.83,245.12,187.23,211.62,373.73,52.11,331.62
2021-04-06,126.21,93.49,554.46,247.03,189.73,61.94,236.5,188.88,211.8,373.26,52.88,330.82
2021-04-05,125.9,93.75,559.5,234.9,188.5,61.04,229.95,191.65,211.72,373.47,52.63,331.05
2021-04-01,123.0,92.41,552.47,236.45,188.97,57.8,229.51,187.7,209.28,368.16,52.52,324.57
2021-03-31,122.15,88.21,533.93,223.23,184.52,57.46,227.05,183.48,206.69,364.3,52.05,319.13
2021-03-30,119.9,86.54,514.87,214.35,185.53,58.51,212.83,178.51,205.44,362.86,51.82,314.32
2021-03-29,121.39,86.59,517.93,204.25,184.85,55.94,207.18,179.32,205.5,363.79,51.61,315.91
2021-03-26,121.21,87.99,513.57,209.24,185.92,56.52,213.6,182.18,206.47,364.01,51.9,316.0
2021-03-25,120.59,84.09,501.41,202.61,186.91,56.6,208.47,172.13,203.15,358.187693571,50.64,311.33
2021-03-24,120.09,83.0,505.72,197.5,184.72,55.81,213.51,171.19,201.663314879,356.184640782,50.56,311.87
2021-03-23,122.54,85.4,522.83,216.64,188.73,56.16,223.2,175.38,203.347746264,358.167762698,51.77,317.22
2021-03-22,123.39,91.28,527.45,217.84,192.86,58.1,226.13,179.82,205.690002924,360.818568877,52.63,318.61
2021-03-19,119.99,90.51,513.83,214.9,191.14,59.82,224.84,175.79,204.583660417,357.988384836,52.7414551485,312.752575918
